title,section,id,source,url,author,theme_keyword,text_type,text,summary,notes
The Noble Mahāyāna Sūtra: The Wisdom of the Hour of Death,Setting: Bodhisattva Ākāśagarbha Questions the Buddha,T07_S01,Lotsawa House,https://www.lotsawahouse.org/words-of-the-buddha/sutra-wisdom-hour-of-death,Words of the Buddha,dying,sūtra,"Thus I have heard at one time. The Blessed One was dwelling in the palace of the king of gods in Akaniṣṭha and teaching the Dharma to the entire retinue when the bodhisattva mahāsattva Ākāśagarbha prostrated to the Blessed One and asked him the following question, 'O Blessed One, how should a bodhisattva view the mind at the moment of death?'",The sūtra opens at Akaniṣṭha pure land; the bodhisattva Ākāśagarbha asks the Buddha how a bodhisattva should view the mind at the moment of death.,"The question 'how should a bodhisattva view the mind at the moment of death?' frames the entire sūtra. Key vocabulary: 'moment of death,' 'mind,' 'bodhisattva,' 'Akaniṣṭha.' Provides canonical Mahāyāna context for the dying process. Translator: Lowell Cook, 2018."
The Noble Mahāyāna Sūtra: The Wisdom of the Hour of Death,Buddha's Teaching: Five Perceptions at the Moment of Death,T07_S02,Lotsawa House,https://www.lotsawahouse.org/words-of-the-buddha/sutra-wisdom-hour-of-death,Words of the Buddha,dying,sūtra,"The Blessed One replied, 'Ākāśagarbha, at the time of death, the bodhisattva should cultivate the wisdom of the hour of death. As for wisdom of the hour of death, you should cultivate the perception of insubstantiality since all phenomena are naturally pure. You should cultivate the perception of great compassion since all phenomena are contained within bodhicitta. You should cultivate the perception of referencelessness since all phenomena are naturally luminous. You should cultivate the perception of utter non-attachment since all things are impermanent. You should cultivate the perception of not searching for buddhahood elsewhere since the mind is wisdom when realized.'","The Buddha teaches five perceptions to cultivate at death: insubstantiality, great compassion, referencelessness, non-attachment, and recognizing mind as wisdom—together constituting the 'wisdom of the hour of death.'","Canonical teaching on the five death-moment perceptions. Key vocabulary: 'insubstantiality,' 'luminous,' 'non-attachment,' 'mind is wisdom,' 'moment of death.' Links dying directly to awareness and liberation. Translator: Lowell Cook, 2018."
The Noble Mahāyāna Sūtra: The Wisdom of the Hour of Death,Verse Summary and Conclusion,T07_S03,Lotsawa House,https://www.lotsawahouse.org/words-of-the-buddha/sutra-wisdom-hour-of-death,Words of the Buddha,liberation,sūtra,"Since all things are pure of inherent nature, / Cultivate the perception of insubstantiality. / Since they are possessed of bodhicitta, / Cultivate the perception of great compassion. / Since all phenomena are by nature luminous, / Cultivate the perception of referencelessness. / Since all things are impermanent, / Cultivate the perception of non-attachment. / The mind is what causes wisdom's arising, / And so, look not for buddhahood elsewhere!","The verse form summarizes the five perceptions, concluding that mind itself is the source of wisdom and buddhahood need not be sought externally.","Verse form reinforces the prose teaching. Key vocabulary for word frequency: 'pure,' 'luminous,' 'impermanent,' 'wisdom,' 'buddhahood,' 'mind.' The directive 'look not for buddhahood elsewhere' positions mind as the locus of liberation. Translator: Lowell Cook, 2018."
The Noble Sūtra Teaching the Eleven Perceptions,Setting: The Buddha's Final Testament at Parinirvāṇa,T08_S01,Lotsawa House,https://www.lotsawahouse.org/words-of-the-buddha/sutra-eleven-perceptions,Words of the Buddha,dying,sūtra,"Thus did I hear at one time. The Blessed One was dwelling in the Grove of Twin Sāl-Trees in the vicinity of the Malla town of Kuśinagara. As the time came for his mahāparinirvāṇa, he addressed the monks: 'O monks, at the time of death, a monk should engender the eleven perceptions.'","The sūtra is set at the moment of the Buddha's own parinirvāṇa at Kuśinagara, where he gives his final testament on perceptions to cultivate at the time of death.","The sūtra's setting—at the moment of the Buddha's own death—gives particular authority to the teaching. Key vocabulary: 'mahāparinirvāṇa,' 'time of death,' 'perceptions.' Provides canonical Hīnayāna-adjacent reference for dying practices. Translator: Samye Translations (Lowell Cook/Stefan Mang), 2020."
The Noble Sūtra Teaching the Eleven Perceptions,Eleven Perceptions at the Time of Death,T08_S02,Lotsawa House,https://www.lotsawahouse.org/words-of-the-buddha/sutra-eleven-perceptions,Words of the Buddha,dying,sūtra,What are these eleven? They are: 1. The perception of non-attachment to this life; 2. The perception of love for all beings; 3. The perception of relinquishing all grudges; 4. The perception of confessing all debauched discipline; 5. The perception of genuinely taking all the vows of discipline; 6. The perception of lightness towards even major wrongdoing; 7. The perception of greatness towards even minor roots of virtue; 8. The perception of fearlessness towards the next world; 9. The perception of impermanence towards all conditioned things; 10. The perception of selflessness toward all phenomena; 11. The perception of understanding nirvāṇa to be peace.,"The Buddha lists eleven perceptions to cultivate at death: non-attachment, love, releasing grudges, confession, discipline, ease with negativity, appreciation of virtue, fearlessness toward the next world, impermanence, selflessness, and nirvāṇa as peace.","Provides a canonical checklist of death-moment mental attitudes. Key vocabulary: 'non-attachment,' 'impermanence,' 'selflessness,' 'nirvāṇa,' 'next world,' 'fearlessness.' Useful for comparing across sūtra and Vajrayana treatments of dying. Translator: Samye Translations, 2020."
Advice for Hor Özer,Distinction Between Ordinary Mind and Pure Awareness (Rigpa),T09_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-III/advice-for-hor-ozer,Dodrupchen Jigme Tenpe Nyima,awareness,Dzogchen instruction,"Generally speaking, the profound features of the Dzogchen instructions are without limit, but the fundamental point is the distinction between ordinary mind and pure awareness. Genuine awareness and the mind of vajra clear light are synonyms. In this tradition, however, recognition occurs directly in the midst of conceptualisation, on the principle that there is clear light even there, just as oil is present throughout a sesame seed. There is also a great difference in the means of sustaining that recognition. Nevertheless, without settling directly in pure awareness, merely to entertain the idea that all that arises is the self-expression of pure awareness will not bring about even so much as a semblance of genuine confidence in self-liberation.","Dodrupchen III explains the crucial Dzogchen distinction between ordinary mind and pure awareness (rigpa), identifying rigpa with vajra clear light, and warns that mere conceptual acceptance of self-liberation is insufficient without direct recognition.","Core Dzogchen epistemology: 'ordinary mind,' 'pure awareness,' 'rigpa,' 'clear light,' 'recognition,' 'self-liberation.' This section is foundational for understanding what recognition of awareness means in the bardo context. Translator: Adam Pearcey, 2017."
Advice for Hor Özer,Self-Liberation of Thoughts in Clear Light,T09_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-III/advice-for-hor-ozer,Dodrupchen Jigme Tenpe Nyima,liberation,Dzogchen instruction,"Even if you are not distracted from pure awareness, various virtuous and non-virtuous thoughts will still arise like waves in great number. Even though they arise in this way, you must remain unmoved from the natural resting place of the wisdom of pure awareness. Then, the force of that, will ensure that although conceptualisations suddenly arise in the first instant, they do not continue in the second. Instead, they will dissolve directly within the genuine sphere of clear light, and not bind the mental continuum. The reason that they do not bind the mind is not simply that thoughts do not continue in the second instant. Rather, it is based on the key point of applying the seal of the realisation of clear light as soon as a thought arises in the first instant.","Thoughts dissolve within clear light when awareness is undistracted, rather than being suppressed; they arise in the first instant but self-liberate in the second instant through the seal of rigpa.","Key for research: 'self-liberation,' 'clear light,' 'awareness,' 'thoughts,' 'dissolve.' The vocabulary of thought-arising and self-liberation in clear light directly parallels bardo recognition. Translator: Adam Pearcey, 2017."
Advice for Hor Özer,Mindfulness in Dzogchen: Effortless vs. Conditioned,T09_S03,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-III/advice-for-hor-ozer,Dodrupchen Jigme Tenpe Nyima,awareness,Dzogchen instruction,"The common concentration of resting the mind has an aspect of stillness, but involves a temporary support and is therefore weak. By contrast, the concentration of self-abiding pure awareness is an innate property of the genuine nature, so it is not separate from the 'fluidity' of dharmatā. This means that there is no deliberate recollection of an object of focus—what we call 'conditioned mindfulness'—within pure awareness itself. Instead, there is effortless, naturally present mindfulness or intrinsic, uncontrived mindfulness. That is to say, clear light is maintained and there is what we call 'genuine mindfulness that prevents straying into the expressions of awareness'.","Dodrupchen III distinguishes conditioned mindfulness from the innate, effortless mindfulness inherent in pure awareness, which is the 'fluid' quality of dharmatā and cannot be separated from clear light.","Links 'mindfulness,' 'dharmatā,' 'clear light,' and 'awareness' in a technical discourse—useful for co-occurrence analysis. Positions dharmatā as the experiential ground even in this life. Translator: Adam Pearcey, 2017."
Advice for Hor Özer,Stages of Dissolution at Death in Dzogchen,T09_S04,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-III/advice-for-hor-ozer,Dodrupchen Jigme Tenpe Nyima,dissolution,Dzogchen instruction,"The various stages from the dissolution of the earth element into the earth element through to the dissolution of consciousness into space, space into clear light, clear light into union, union into wisdom, and wisdom into spontaneous presence, as well as ultimately how spontaneous presence is absorbed into the inner sphere, are taught clearly and in detail in Treasury of the Supreme Vehicle and in summary in Yeshe Lama. For followers of this Dharma tradition, the stages of dissolution at the time of death are as outlined above. At that time, prior orientation is important. Comprehensive transmission as if for a traveller about to cross a mountain pass means that one receives instructions on the bardos from one's teacher or a vajra sibling, and these instructions are made clear.","Dodrupchen III summarizes the full dissolution sequence unique to Dzogchen: from elements through consciousness, space, clear light, union, wisdom, and spontaneous presence, emphasizing the importance of prior instruction for navigating it.","Uniquely extends the dissolution sequence beyond the standard four-element model to include space, clear light, union, wisdom, and spontaneous presence. Key vocabulary: 'dissolution,' 'consciousness,' 'clear light,' 'spontaneous presence.' Critical comparative data. Translator: Adam Pearcey, 2017."
Advice for Hor Özer,"Practical Guidance: Before, During, and After Meditation",T09_S05,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-III/advice-for-hor-ozer,Dodrupchen Jigme Tenpe Nyima,practice,Dzogchen instruction,"No matter what virtuous activity you might be engaged in, it is important to carry it out having first eliminated worldly distractions. During actual meditative equipoise, you must first lay bare pure awareness. Then settle naturally, without making any attempt to adjust, transform, reject or adopt anything. Should thoughts arise, do not indulge them, but maintain your ground within awareness—this is a crucial point. No matter what positive or negative experiences might arise, including bliss, clarity and absence of thought, as soon as you follow them with a judgement, you have strayed from the natural resting place of pure awareness and are already lost in its expressions.","The text provides practical guidance for the three phases of Dzogchen practice: eliminating distraction beforehand, resting in bare awareness during, and maintaining the ground within awareness when thoughts arise.","The practical vocabulary of resting in pure awareness—'natural resting place,' 'awareness,' 'judgement,' 'expressions'—is directly applicable to bardo recognition. Useful for word frequency of practice-instruction language. Translator: Adam Pearcey, 2017."
Advice for a Dying Practitioner,Releasing Attachment and Confession,T10_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-III/advice-dying-practitioner,Dodrupchen Jigme Tenpe Nyima,dying,advice,"You will need to make preparations before the time comes to pass away. Think to yourself again and again: 'Whether death comes sooner or later, ultimately there is no alternative but to give up this body and all my possessions. This is just how it is for the world as a whole.' Thinking along these lines, sever completely the bonds of desire and attachment. Confess all the harmful actions you have committed in this and all your other lives, as well as any downfalls or breakages of vows you may have incurred, wittingly or unwittingly, and make repeated pledges never to act in such a way in future.","Dodrupchen III advises that preparation for death begins with repeatedly contemplating the inevitability of giving up body and possessions, completely severing attachment, and confessing all harmful actions.","Models the vocabulary of practical preparation for dying: 'death,' 'attachment,' 'body,' 'confession,' 'vows.' Critical for studying how dying preparation is framed in advice literature. Translator: Adam Pearcey, 2006."
Advice for a Dying Practitioner,Cultivating Joy and Making Aspiration,T10_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-III/advice-dying-practitioner,Dodrupchen Jigme Tenpe Nyima,dying,advice,"Don't feel nervous or apprehensive about death. Try instead to raise your spirits and cultivate a clear sense of joy, bringing to mind all the positive, virtuous things you have done in the past. Without feeling any trace of pride or arrogance, celebrate your achievements over and again. Dedicate all your merits and make repeated prayers of aspiration, so that in all your future lives you may be able to take to heart the complete path of the supreme vehicle, with the guidance of a virtuous spiritual friend.","Rather than fearing death, the practitioner is advised to cultivate joy by remembering past virtue, repeatedly dedicating merit, and praying to follow the complete path of the supreme vehicle in future lives.","Joy as a psychological orientation at dying contrasts with fear; key vocabulary: 'joy,' 'death,' 'merit,' 'aspiration,' 'future lives.' Useful for studying the affective register of dying instruction literature. Translator: Adam Pearcey, 2006."
Advice for a Dying Practitioner,Strengthening Aspiration and Devotion,T10_S03,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-III/advice-dying-practitioner,Dodrupchen Jigme Tenpe Nyima,rebirth,advice,"In order to accomplish more easily whatever prayers you have made or intentions you have formed, it is profoundly beneficial to rely upon an embodiment of spiritual power. Bring to mind therefore the one for whom you have the greatest devotion, or to whom you feel the deepest connection through your practice, whether it is the great and glorious master of Oḍḍiyāna, Guru Rinpoche, or Noble Avalokiteśvara, the Lord of the World, and, with the confident trust that he or she is the embodiment of all the precious sources of refuge, pray one-pointedly for the fulfilment of your aspirations.","To strengthen aspiration, Dodrupchen recommends one-pointed devotion to Guru Rinpoche or Avalokiteśvara as the embodiment of all refuge, praying with confidence that aspirations will be fulfilled.","Establishes devotion as a death-moment support mechanism. Key vocabulary: 'devotion,' 'aspiration,' 'refuge,' 'Guru Rinpoche,' 'Avalokiteśvara.' Relevant for studying the role of refuge objects in the bardo transition. Translator: Adam Pearcey, 2006."
Advice for a Dying Practitioner,Choosing Meditation at the Moment of Death,T10_S04,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-III/advice-dying-practitioner,Dodrupchen Jigme Tenpe Nyima,dying,advice,"At the actual moment of death it will be difficult to gather sufficient strength of mind to meditate on something new or unfamiliar, which is why you must choose an appropriate meditation beforehand and train until you are familiar with it. Then, as you pass away, you should devote your thoughts to the meditation as much as you possibly can, whether it is remembering the Buddha, focusing on the feeling of compassion, cultivating the view of śūnyatā, or remembering the Dharma or the Saṅgha. In order for this to happen successfully, it is also important that you train yourself beforehand to think, 'From now on, as I pass through this critical juncture of the time of death, I will not allow any negative thoughts to enter my mind.'","Familiarity with one's chosen meditation before death is crucial; at the actual moment, one should maintain the most familiar practice—whether remembering the Buddha, compassion, or śūnyatā—and train the mind beforehand to exclude negative thoughts.","Practical guidance on the role of prior meditation training for death. Key vocabulary: 'moment of death,' 'meditation,' 'consciousness,' 'compassion,' 'śūnyatā,' 'familiar.' Emphasizes the role of habituation in determining what arises at death. Translator: Adam Pearcey, 2006."
Aspiration at the Moment of Death,Taking Refuge and Aspiring for All Beings,T11_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-I/aspiration-at-moment-of-death,Dodrupchen Jigme Trinle Özer,aspiration prayer,aspiration prayer,"I take refuge in the body, speech, mind, qualities and activity of the noble gurus, who embody the Three Jewels and Three Roots. I supplicate you: inspire me with your blessings, I pray! Fulfil these aspirations of mine, I pray! From this life onwards, throughout all my future lives, may I never develop even the slightest negative intention towards sentient beings, who are my very own parents! May my positive intentions and actions flow uninterruptedly like a stream!","Made at the approach of death, the text takes refuge in the gurus as embodiment of all refuge and aspires never to develop harmful intentions toward any being across all future lives.","The aspiration's autobiographical context—composed at the approach of death—is particularly relevant to studying deathbed vocabulary. Key terms: 'refuge,' 'future lives,' 'positive intention,' 'aspirations.' Translator: Adam Pearcey, 2018."
Aspiration at the Moment of Death,Vows at the Moment of Death,T11_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-I/aspiration-at-moment-of-death,Dodrupchen Jigme Trinle Özer,aspiration prayer,aspiration prayer,"With the exception of the pure gaṇacakra feast on the path of Vajrayāna, which does not involve any desire to eat, may I never consume or be involved in the consumption of even the slightest trace of flesh or blood from any living being! May I always recall these vows as vividly as I do now! For as long as I lack the two qualities of possession and freedom, may I never incur even the slightest karmic debt based on the misuse of offerings!","The aspiration includes specific vows at the moment of death: never consuming flesh or blood except in feast-offering contexts, and never incurring karmic debt through misuse of offerings.","Unusual vocabulary for death-moment context: 'vows,' 'karmic debt,' 'offerings,' 'flesh and blood.' Provides Vajrayana ethical framework at death that influences future rebirth. Translator: Adam Pearcey, 2018."
Aspiration at the Moment of Death,Closing Aspiration Through the Power of Truth,T11_S03,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-I/aspiration-at-moment-of-death,Dodrupchen Jigme Trinle Özer,aspiration prayer,aspiration prayer,"May I be able to sacrifice my own body, speech and mind without the slightest impediment, even it is for the sake of just a single sentient being! Through the power of the truth of the unchanging dharmatā nature and the infallible law of causality, may these selfless aspirations be entirely fulfilled! Through the truth of the Three Jewels, may they be fulfilled! Through the truth of the noble gurus, may they be fulfilled!","The aspiration closes by invoking the power of dharmatā's unchanging nature and the law of causality to fulfil these selfless aspirations, sealed by the truth of the Three Jewels and the gurus.","Invokes 'dharmatā' as a ground of truth—unusual co-occurrence with aspiration prayer genre. Key vocabulary: 'dharmatā,' 'causality,' 'selfless,' 'truth,' 'Three Jewels.' Adds to corpus of dharmatā-as-ground usage. Translator: Adam Pearcey, 2018."
The Excellent Path to Perfect Liberation,Invocation and Summoning the Consciousness of the Deceased,T12_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-I/excellent-path-to-perfect-liberation,Dodrupchen Jigme Trinle Özer,phowa,ritual guidance,"Hrīḥ. I appear clearly in the form of the Great Compassionate One. In my heart is the syllable hrīḥ, from which there emanate rays of light, Summoning the consciousness of the deceased, from the seven realms Or wherever it may reside, so that it dissolves into this form. Then, gently, in the presence of the deceased, recite the following: Hrīḥ. You who have died and passed beyond, now listen well! Wherever you are reborn among the six classes, it will only be a place of suffering. To escape, remain securely in this material support for the three doors—A form and name to which you are attached.","The officiant appears as Avalokiteśvara and emits rays of light from the hrīḥ syllable to summon the consciousness of the deceased from wherever it is in the six realms, urging it to listen and remain in the ritual support.","Rich ritual vocabulary: 'consciousness,' 'summoning,' 'six realms,' 'rebirth,' 'suffering,' 'the three doors.' Establishes the ritual logic of guiding the deceased consciousness. Note: Restricted Vajrayana text; requires empowerment. Translator: Rigpa Translations, 2014."
The Excellent Path to Perfect Liberation,Ablution and Purification of the Deceased,T12_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-I/excellent-path-to-perfect-liberation,Dodrupchen Jigme Trinle Özer,purification,ritual guidance,"Hūṃ. Through the flowing water of the nirmāṇakāya's manifest display, / The expression of loving kindness and affection, / May all the impurity and obscurations of your / Aggregates, elements and sense-sources be cleansed and purified! / Hūṃ. Through the flowing water of the unceasing saṃbhogakāya, / The expression of the spontaneously perfect, all-pervading space, / May all the impurity and obscurations of your / Eight consciousnesses be cleansed and purified!","The ritual bathes the consciousness of the deceased with the waters of the three kāyas, purifying the aggregates, elements, sense-sources, and eight consciousnesses, removing karmic obscurations accumulated since beginningless time.","Unique vocabulary of karmic purification at death: 'aggregates,' 'elements,' 'eight consciousnesses,' 'obscurations,' 'purified.' The three-kāya water symbolism provides a structural framework linking dying to liberation. Restricted Vajrayana text. Translator: Rigpa Translations, 2014."
The Excellent Path to Perfect Liberation,Guidance Through the Six Realms,T12_S03,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-I/excellent-path-to-perfect-liberation,Dodrupchen Jigme Trinle Özer,rebirth,ritual guidance,"Hūṃ. Listen, deceased one, you who have left the body, child of noble family, / Through the fault of clinging to a self in the selfless nature of the mind, / And an 'other' in appearances which are devoid of any other, / Arises the terrifying inner and outer world—the environment and beings—of the hot and cold hells. / In reality, as this is but the delusion of your very own mind, / Know it to be deluded experience, / And, like waking from a dream, abandon these infernal realms! / Abandon the land of the pretas and seek instead the path to liberation and pure realms!","In sequence, the deceased is addressed for each of the six realms, told that the suffering of each realm arises from a specific klesha and is ultimately the delusion of their own mind—like waking from a dream—and invited to seek liberation.","Central to the research: the refrain 'delusion of your own mind,' 'like waking from a dream,' and 'seek liberation' appear for each of six realms. Key vocabulary: 'rebirth,' 'delusion,' 'consciousness,' 'liberation,' 'realms.' Restricted Vajrayana text. Translator: Rigpa Translations, 2014."
The Excellent Path to Perfect Liberation,Empowerment of the Three Kāyas,T12_S04,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-I/excellent-path-to-perfect-liberation,Dodrupchen Jigme Trinle Özer,liberation,ritual guidance,"Oṃ. Outwardly the vase and its contents, / Inwardly the flowing nectar of the compassion / Of Padmapāṇi, the Holder of the Lotus— / By bestowing this empowerment on the body of the deceased, / May it ripen as the nirmāṇakāya! / Āḥ. Outwardly the sound of earth, water, fire and wind, / Inwardly the languages of the six classes of beings, / Secretly the secret speech of all the buddhas— / By bestowing this empowerment on the speech of the deceased, / May it ripen as the saṃbhogakāya! / Hūṃ. This material substance of the vajra / Symbolizes the enlightened mind of all the buddhas— / By bestowing this empowerment on the mind of the deceased, / May it ripen as the dharmakāya!","Three empowerments are bestowed on the body, speech, and mind of the deceased, aspiring that each ripen as nirmāṇakāya, sambhogakāya, and dharmakāya respectively, leading to liberation.","Key vocabulary: 'nirmāṇakāya,' 'saṃbhogakāya,' 'dharmakāya,' 'empowerment,' 'ripening,' 'liberation,' 'mind.' Shows the three-kāya structure as the organizing frame for post-death liberation. Restricted Vajrayana text. Translator: Rigpa Translations, 2014."
The Excellent Path to Perfect Liberation,Transference to Sukhāvatī,T12_S05,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/dodrupchen-I/excellent-path-to-perfect-liberation,Dodrupchen Jigme Trinle Özer,phowa,ritual guidance,"Hūṃ! Deceased one, son or daughter of noble family, listen well! All the realms of saṃsāra, high or low, / Are like dungeons of the three sufferings, / In which all are imprisoned—this is certain. / So do not grasp! Do not be attached! But generate the supreme resolve. / To the west of here there lies / A place of perfect happiness and enjoyment, / A land of great bliss, / Where even the name of suffering is unknown, / Wherein dwells the Lord of Boundless Life. / Your mind itself is the syllable hrīḥ. / Swiftly now it moves, like a shooting star. / And in the expanse of Amitābha's wisdom mind, / Merges indivisibly, of a single taste.","The consciousness of the deceased is urged to release all grasping and, as the syllable hrīḥ, to fly like a shooting star to the western pure land of Amitābha and merge indivisibly with his wisdom mind.","Describes the phowa (transference) moment: consciousness as syllable, movement to Sukhāvatī, and merging with Amitābha. Key vocabulary: 'consciousness,' 'phowa,' 'liberation,' 'Amitābha,' 'pure land,' 'rebirth.' Restricted Vajrayana text. Translator: Rigpa Translations, 2014."
Transferring the Consciousness of the Deceased,Addressing the Deceased: Impermanence and Death,T13_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/jigme-lingpa/transferring-consciousness,Jigme Lingpa,dying,ritual guidance,"[Name of the deceased], having experienced impermanence you are now dead. You are not the only person to have experienced what we call 'death'; it is the path every one of the five kinds of sentient being must follow. Once birth has taken place, life can only end in death—such is the nature of things. There is not a single sentient being in this world—from the rich and powerful universal monarch to the starving beggar unable even to feed himself—who can free themselves from life and death.","Jigme Lingpa opens by directly addressing the deceased by name, naming them dead and universalizing the experience of death across all five types of sentient beings.","Direct address genre vocabulary: 'dead,' 'death,' 'impermanence,' 'sentient beings,' 'life and death,' 'nature of things.' Models the linguistic register of speaking directly to the dead. Translator: Gyurme Avertin, Adam Pearcey, Han Kop, 2023."
Transferring the Consciousness of the Deceased,Karma and the Power of Faith at Death,T13_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/jigme-lingpa/transferring-consciousness,Jigme Lingpa,rebirth,ritual guidance,"Now that you are personally experiencing the ripening of the truth of suffering described in this verse, which is the very nature of things, the danger is that your attachment to your relatives, wealth and possessions will lead you to a lower realm. We should rejoice at being able to experience death and transference during this fortunate time when the teachings of the Buddha exist in this world. Because simply to hear the names of the bhagavān buddhas is very powerful. This means that those who pass away while hearing these names and experiencing trust and joy will be liberated from lower rebirths and attain the level of a god or human being.","Warning against attachment leading to lower rebirth, Jigme Lingpa encourages the deceased to rejoice that they can experience death with the Buddha's teachings present, noting that even hearing buddha-names at death brings liberation from lower rebirths.","Key vocabulary: 'attachment,' 'lower rebirth,' 'karma,' 'liberation,' 'death,' 'consciousness,' 'trust and joy.' Establishes the soteriological stakes at the death moment. Translator: Gyurme Avertin, Adam Pearcey, Han Kop, 2023."
Transferring the Consciousness of the Deceased,Relying on Amitābha and Aspiring to Sukhāvatī,T13_S03,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/jigme-lingpa/transferring-consciousness,Jigme Lingpa,rebirth,ritual guidance,"The protector Amitābha, in particular, promised that all fear in the bardos and all the causes of lower rebirth will be completely eliminated for anyone who remembers or hears his name, and abides by the view. So rely on him and the bodhisattvas Avalokiteśvara and Mahāsthāmaprāpta, and do not forget their buddhafield, Sukhāvatī. Since you are now free of your physical body of flesh and blood, go straight to this supreme buddhafield. Think of and meditate on the guru for whom you have devotion. Remember your yidam and the view.",Amitābha's vow to eliminate fear in the bardos and all causes of lower rebirth is invoked; the deceased is instructed to rely on him and the two bodhisattvas and to go directly to Sukhāvatī.,"Directly links Amitābha's vow to bardo-fear and lower rebirth—key for research. Vocabulary: 'bardos,' 'fear,' 'lower rebirth,' 'Sukhāvatī,' 'buddhafield,' 'consciousness,' 'devotion.' Translator: Gyurme Avertin, Adam Pearcey, Han Kop, 2023."
Transferring the Consciousness of the Deceased,Instruction on Transference: The Syllable A,T13_S04,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/jigme-lingpa/transferring-consciousness,Jigme Lingpa,phowa,ritual guidance,"One method for creating auspicious circumstances through these key points is the instruction on transference, which brings enlightenment without meditation and which is applied at the juncture between one lifetime and the next. Meditate, therefore, on a white syllable 'a' in your heart. As I repeat the sound 'a', bring into your experience all that I have just said. Consider that the 'a' goes straight to the buddhafield of Sukhāvatī, like an arrow shot by a powerful archer. Apply the syllable 'a', / Combined with the breath, as many times as the person's age. / If they do not die at that very moment, / Then with breath directed towards the crown, / Gather their consciousness into the middle of the body / While focusing on the syllable 'a'.","The instruction on phowa (consciousness transference) uses the syllable 'a' at the heart; repeated as many times as the deceased's age while applying it to breath, it propels consciousness to Sukhāvatī like an arrow.","Central description of phowa practice: 'consciousness,' 'transference,' 'syllable a,' 'breath,' 'Sukhāvatī,' 'liberation.' The 'like an arrow' metaphor appears in multiple bardo texts. Translator: Gyurme Avertin, Adam Pearcey, Han Kop, 2023."
The Nail of Taking Death as a Friend,Introduction: Taking Death as a Friend vs. Enemy,T14_S01,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/marpa-chokyi-lodro/nail-of-death-as-friend,Marpa Chökyi Lodrö,dying,advice,"When these methods do not work in preventing death and a yogi meets their end, death should be taken as a friend. Worldly beings grasp death as their enemy, whereas yogis, on the basis of the guru's oral instructions, will at the time of death, or in the bardo, take it as a friend, enabling them to attain the siddhi of Mahāmudrā.","Marpa introduces the teaching by contrasting the worldly perception of death as enemy with the yogi's orientation of taking death as a friend through guru instructions, leading to Mahāmudrā accomplishment.","Frames the text's central argument: death as opportunity for liberation. Key vocabulary: 'death,' 'bardo,' 'friend,' 'Mahāmudrā,' 'siddhi,' 'guru.' Provides the Kagyu tradition's orientation toward dying. Translator: Sean Ross, 2023."
The Nail of Taking Death as a Friend,The Natural Process of Dying,T14_S02,Lotsawa House,https://www.lotsawahouse.org/tibetan-masters/marpa-chokyi-lodro/nail-of-death-as-friend,Marpa Chökyi Lodrö,dissolution,advice,"For the first, both when death happens gradually and when it happens all of a sudden, the following signs emerge. At the time the earth element dissolves into the water element the outer sign is that there is a heaviness of the body. The inner sign is that smoke emerges. When fire dissolves into wind, the outer sign is that the body's heat dissipates, beginning at its extremities. The inner sign is that the appearance of fireflies arises. When wind dissolves into consciousness the outer sign is that breathing is weak, the inner sign is that outer appearances fade, and consciousness abides clearly like a butter lamp within a vase. When consciousness dissolves into luminosity the outer sign is that the person is pronounced dead. The inner sign is that death, the Prajñāpāramitā, luminous dharmakāya as it is, dawns right there at once.","Marpa describes the natural dying process as the dissolution of earth, fire, wind, and consciousness with matching outer (bodily) and inner (visionary) signs, culminating in consciousness abiding like a butter lamp and then luminous dharmakāya dawning.","Notable formulation: 'death, the Prajñāpāramitā, luminous dharmakāya.' Key vocabulary: 'element dissolves,' 'consciousness,' 'luminosity,' 'dharmakāya,' 'signs.' The butter-lamp-in-a-vase image parallels the youthful vase body in T06. Translator: Sean Ross, 2023."
